Gmt time,Open,High,Low,Close,Volume,news_sentiment
29.12.2024 16:00:00.000,90595.359375,90595.359375,89689.0703125,89911.4375,0,0.0
29.12.2024 17:00:00.000,89918.34375,90091.2265625,89834.8984375,89983.90625,0,0.0
29.12.2024 18:00:00.000,89978.0625,89978.0625,89616.4609375,89618.71875,508319744,0.0
29.12.2024 19:00:00.000,89631.96875,89817.984375,89472.6875,89654.09375,825165824,0.0
29.12.2024 20:00:00.000,89651.25,89801.1484375,89417.7734375,89800.3046875,857556992,0.0
29.12.2024 21:00:00.000,89803.1875,89848.4609375,89308.6953125,89485.1015625,1026203648,0.0
29.12.2024 22:00:00.000,89407.3828125,89666.4296875,89085.5078125,89159.34375,713771008,0.0
29.12.2024 23:00:00.000,89115.28125,89819.9375,89047.1640625,89682.015625,1179983872,0.0
30.12.2024 00:00:00.000,89681.8125,89769.7890625,89504.1640625,89525.5078125,608149504,0.0
30.12.2024 01:00:00.000,89529.9140625,90085.5703125,89419.90625,89872.7421875,1255636992,0.0
30.12.2024 02:00:00.000,89905.1328125,89934.84375,89460.5390625,89848.109375,1045430272,0.0
30.12.2024 03:00:00.000,89865.703125,90024.3671875,89672.5625,89677.796875,504770560,0.0
30.12.2024 04:00:00.000,89705.4765625,89904.1171875,89344.6484375,89344.6484375,501069824,0.0
30.12.2024 05:00:00.000,89316.78125,89525.9296875,89260.359375,89525.9296875,755425280,0.0
30.12.2024 06:00:00.000,89530.015625,89940.1015625,89471.75,89800.4921875,652580864,0.0
30.12.2024 07:00:00.000,89815.953125,89881.53125,89401.2734375,89728.09375,667996160,0.0
30.12.2024 08:00:00.000,89741.8671875,90026.3828125,89720.203125,90017.1171875,526974976,0.0
30.12.2024 09:00:00.000,89997.34375,90032.2734375,89798.1796875,89824.4921875,529887232,0.0
30.12.2024 10:00:00.000,89811.171875,89891.1015625,89624.5078125,89703.765625,83722240,0.0
30.12.2024 11:00:00.000,89720.0625,89732.0234375,89382.703125,89729.5078125,629477376,0.0
30.12.2024 12:00:00.000,89720.265625,90099.953125,89588.6484375,89610.25,770785280,0.0
30.12.2024 13:00:00.000,89592.484375,89592.484375,88783.625,88995.3515625,2210566144,0.0
30.12.2024 14:00:00.000,89046.0,89302.0234375,88314.15625,88314.15625,1849679872,0.0
30.12.2024 15:00:00.000,88281.328125,88766.7265625,87861.640625,88538.0234375,4315553792,0.0
30.12.2024 16:00:00.000,88521.546875,88612.2109375,88329.8359375,88508.2578125,454209536,0.0
30.12.2024 17:00:00.000,88514.15625,90429.3828125,88390.9140625,89918.96875,2350927872,0.0
30.12.2024 18:00:00.000,90029.2421875,90949.4375,89979.3125,90806.3515625,2515795968,0.0
30.12.2024 19:00:00.000,90770.609375,90807.0390625,90244.8125,90668.46875,840601600,0.0
30.12.2024 20:00:00.000,90694.125,91150.140625,90583.375,90619.5390625,997093376,0.0
30.12.2024 21:00:00.000,90577.1484375,90601.59375,88208.765625,88517.671875,1357307904,0.0
30.12.2024 22:00:00.000,88476.0,89207.1640625,88260.2421875,89131.75,982900736,0.0
30.12.2024 23:00:00.000,89050.5078125,89096.59375,88694.71875,89032.6328125,0,0.0
31.12.2024 00:00:00.000,89030.46875,89092.3671875,88700.671875,88700.671875,0,0.0
31.12.2024 01:00:00.000,88689.5078125,88820.421875,88280.4453125,88620.859375,66949120,0.0
31.12.2024 02:00:00.000,88585.2890625,88851.15625,88522.9375,88707.890625,0,0.0
31.12.2024 03:00:00.000,88691.0234375,88801.9609375,88464.609375,88727.3125,48701440,0.0
31.12.2024 04:00:00.000,88728.390625,88995.6953125,88626.296875,88703.0234375,0,0.0
31.12.2024 05:00:00.000,88720.171875,88977.9140625,88624.3984375,88883.0859375,0,0.0
31.12.2024 06:00:00.000,88879.09375,89253.6328125,88854.8046875,89034.71875,0,0.0
31.12.2024 07:00:00.000,89043.734375,89146.4921875,89036.578125,89080.8203125,0,0.0
31.12.2024 08:00:00.000,89072.703125,90700.171875,89063.3125,90071.078125,1660022784,0.0
31.12.2024 09:00:00.000,90076.703125,90229.0625,89962.5625,90055.109375,503119872,0.0
31.12.2024 10:00:00.000,90088.234375,90351.5703125,89848.078125,90257.4765625,646643712,0.0
31.12.2024 11:00:00.000,90255.0234375,90407.8515625,90116.109375,90383.171875,0,0.0
31.12.2024 12:00:00.000,90373.2265625,91116.5703125,90373.2265625,90827.96875,799731712,0.0
31.12.2024 13:00:00.000,90841.8515625,92203.921875,90816.9296875,91915.2109375,368173056,0.0
31.12.2024 14:00:00.000,91846.78125,92552.3359375,91842.4140625,92041.1875,0,0.0
31.12.2024 15:00:00.000,92101.7890625,92370.765625,91393.515625,92093.578125,0,0.0
31.12.2024 16:00:00.000,92035.6171875,92166.828125,91289.15625,91559.65625,0,0.0
31.12.2024 17:00:00.000,91489.96875,91611.203125,90154.25,90771.328125,0,0.0
31.12.2024 18:00:00.000,90813.8046875,91021.9453125,90562.8515625,90587.296875,0,0.0
31.12.2024 19:00:00.000,90580.6875,90942.3125,90412.21875,90794.828125,0,0.0
31.12.2024 20:00:00.000,90817.234375,90856.171875,90162.1796875,90180.8203125,0,0.0
31.12.2024 21:00:00.000,90255.1875,90592.265625,90182.3515625,90575.75,0,0.0
31.12.2024 22:00:00.000,90547.203125,90547.203125,90100.671875,90100.671875,0,0.0
31.12.2024 23:00:00.000,90153.03125,90383.546875,90111.5703125,90300.0625,0,0.0
01.01.2025 00:00:00.000,90237.84375,91068.78125,90157.3359375,91028.1640625,0,0.0
